VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,GrossProfit,ProfitMargin,StockTurnOver,SaletoPurchaseRatio
12546,JIM BEAM BRANDS COMPANY,2788,Laphroaig 10 Yr Single Malt,31.24,750,44.99,7861,245577.64,123880.97,7748,346877.52,221250.89,6104.98,101299.88,29.20335685,0.985625239,1.412496349
1128,BROWN-FORMAN CORP,171,Gentleman Jack,36.76,1750,49.99,6664,244968.64,68601.68,6590,338434.1,236839.04,12113.66,93465.46,27.61703386,0.988895558,1.381540511
480,BACARDI USA INC,3436,Bombay Dry Gin,18.79,1750,26.99,12950,243330.5,89286.27,12094,312799.06,182038.84,22225.65,69468.56,22.20868567,0.933899614,1.285490557
4425,MARTIGNETTI COMPANIES,39335,Phillips Seven Deadly Znfdl,8.75,750,14.99,27503,240651.25,144929.24,25987,362244.09,128359.86,2906.53,121592.84,33.56654901,0.944878741,1.505265774
12546,JIM BEAM BRANDS COMPANY,4678,Courvoisier VS Cognac,16.78,750,24.99,14303,240004.34,123880.97,14254,329579.46,163977.29,11227.39,89575.12,27.17861119,0.996574145,1.373222918
4425,MARTIGNETTI COMPANIES,32826,Rombauer Carneros Chard,22.41,750,34.99,10641,238464.81,144929.24,10274,348353.42,127288.02,1147.88,109888.61,31.54515032,0.96551076,1.460816881
3960,DIAGEO NORTH AMERICA INC,2748,Johnnie Walker Blue Label,240.59,1750,319.99,991,238424.69,257032.07,964,307040.36,225202.97,1772.12,68615.67,22.34744318,0.972754793,1.287787603
1128,BROWN-FORMAN CORP,8526,Chambord Royale de France,20.43,750,27.99,11634,237682.62,68601.68,12449,355263.51,221828.39,9806.76,117580.89,33.09681031,1.070053292,1.494697046
8112,MOET HENNESSY USA INC,115,Belvedere Vodka,21.37,1000,27.99,11119,237613.03,48347.26,10255,287037.45,136171.35,10767.75,49424.42,17.21880542,0.92229517,1.208003829
3960,DIAGEO NORTH AMERICA INC,4734,Capt Morgan Cannon Blast,11.9,750,16.99,19847,236179.3,257032.07,18637,280600.63,138684,14677.03,44421.33,15.83080195,0.939033607,1.188083079
1392,CONSTELLATION BRANDS INC,8498,R M Woodbridge Svgn Bl Cal,5.84,1500,8.99,40293,235311.12,79528.99,39910,402153.9,124011.33,8958.21,166842.78,41.48729628,0.990494627,1.70903058
3960,DIAGEO NORTH AMERICA INC,4429,Capt Morgan Silver Spicd Rum,17.31,1750,22.99,13569,234879.39,257032.07,13116,301339.84,174606.04,24103.19,66460.45,22.05498284,0.966615078,1.282955648
10000,MAJESTIC FINE WINES,24327,La Crema Pnt Nr Sonoma Cst,13.1,750,19.99,17856,233913.6,17587.59,15704,323546.96,125859.5,1754,89633.36,27.7033541,0.879480287,1.383190033
3664,WILLIAM GRANT & SONS INC,4218,Sailor Jerry Spiced Navy Rum,12.31,750,16.99,18993,233803.83,30234.42,16583,286511.17,165062.82,13062.31,52707.34,18.39626008,0.873111146,1.225434032
3664,WILLIAM GRANT & SONS INC,2398,Tullamore Dew,16.4,750,20.99,14238,233503.2,30234.42,13347,300055.53,174270.02,10514.58,66552.33,22.18000448,0.937420986,1.285016779
10754,PERFECTA WINES,2531,WhistlePig 10 Yr Old Rye,46.37,750,63.99,5011,232360.07,28720.52,4102,288456.98,204948.87,3233.6,56096.91,19.44723612,0.818599082,1.241422332
1128,BROWN-FORMAN CORP,5299,Southern Comfort,15.26,1750,21.99,15196,231890.96,68601.68,15234,349220.66,136423.8,27990.82,117329.7,33.59758269,1.002500658,1.505969271
10754,PERFECTA WINES,43223,Ch Beauchene Cotes du Rhone,5.93,750,8.99,38980,231151.4,28720.52,38054,365707.74,100440.71,4262.96,134556.34,36.79340776,0.976244228,1.582113455
1392,CONSTELLATION BRANDS INC,3804,Svedka Vodka,7.63,750,12.99,30170,230197.1,79528.99,29953,308911.47,143881.53,23583.08,78714.37,25.48120664,0.992807425,1.341943361
1392,CONSTELLATION BRANDS INC,6565,Clos du Bois Cab Svgn N Cst,5.99,750,10.99,38180,228698.2,79528.99,37769,352579.31,95914.87,4231.89,123881.11,35.13567203,0.989235202,1.541679427
1392,CONSTELLATION BRANDS INC,29248,Toasted Head Chard,6.53,750,9.99,34803,227263.59,79528.99,33858,360783.42,101906.47,3792.69,133519.83,37.00830543,0.972847168,1.587510872
8892,TRINCHERO FAMILY ESTATES,12771,Joel Gott Cab Svgn 815,8.44,750,12.99,26874,226816.56,11595.97,25372,339061.28,109807.91,2839.34,112244.72,33.10455266,0.944109548,1.494870039
3960,DIAGEO NORTH AMERICA INC,1380,Bulleit 95 Rye,34.05,1750,49.99,6655,226602.75,257032.07,6486,315297.14,208791.13,11921.34,88694.39,28.13041374,0.97460556,1.391409151
9815,WINE GROUP INC,11826,Cupcake Chard,4.72,750,6.99,47943,226290.96,27100.41,46616,350764.84,84403.3,5225.62,124473.88,35.48641876,0.972321298,1.550061213
12546,JIM BEAM BRANDS COMPANY,8066,DeKuyper Triple Sec,7.13,1750,8.99,31564,225051.32,123880.97,31254,285991.46,109083.44,57425.27,60940.14,21.30837753,0.990178685,1.270783304
9815,WINE GROUP INC,14706,Cupcake Prosecco,4.6,750,8.99,48442,222833.2,27100.41,47545,422212.55,95398.91,5332.48,199379.35,47.22250677,0.981483011,1.894747057
8664,"STOLI GROUP,(USA) LLC",3680,Stolichnaya Ohranj,18.93,1750,24.99,11728,222011.04,18544.49,11749,297848.51,165749.74,21591.1,75837.47,25.46175907,1.001790587,1.341593238
12546,JIM BEAM BRANDS COMPANY,1278,Jim Beam Black,26.71,1750,35.99,8275,221025.25,123880.97,7868,277415.32,195511.55,14462.48,56390.07,20.32694878,0.95081571,1.255129538
7239,REMY COINTREAU USA INC,5124,Cointreau Liqueur,51.53,1750,66.99,4269,219981.57,16978.67,4150,279734.5,204523.7,7629.18,59752.93,21.36058656,0.972124619,1.271626982
8004,SAZERAC CO INC,1398,Blantons Sgl Barrel Bourbon,40.59,750,56.99,5415,219794.85,50293.62,5339,302732.61,164770.9,4205.64,82937.76,27.39637464,0.985964912,1.377341689
3960,DIAGEO NORTH AMERICA INC,3397,Ciroc Red Berry Vodka,18.24,750,24.99,12012,219098.88,257032.07,12058,305545.42,136362.61,9498.55,86446.54,28.2925334,1.003829504,1.394554915
1128,BROWN-FORMAN CORP,3614,Finlandia Vodka,15.99,1750,19.99,13694,218967.06,68601.68,13788,287664.12,146053.64,25337.75,68697.06,23.88099705,1.00686432,1.313732394
12546,JIM BEAM BRANDS COMPANY,1358,Knob Creek Bourbon,42.85,1750,64.99,5105,218749.25,123880.97,4775,296925.25,229111.24,8778.35,78176,26.32851197,0.935357493,1.357377225
12546,JIM BEAM BRANDS COMPANY,4269,Calico Jack Spiced Rum,9.22,1750,11.99,23661,218154.42,123880.97,23702,292863.98,148820.73,43549.61,74709.56,25.5099859,1.001732809,1.342461821
3960,DIAGEO NORTH AMERICA INC,2723,J & B Rare,21.42,1750,29.99,10153,217477.26,257032.07,9306,289581.94,166336.26,17103.1,72104.68,24.89957765,0.916576381,1.331550434
3252,E & J GALLO WINERY,40545,Whitehaven Svgn Bl Marlboro,9.93,750,14.99,21850,216970.5,61966.91,21477,321940.23,103565.91,2403.61,104969.73,32.60534727,0.982929062,1.483797244
9815,WINE GROUP INC,31465,Franzia Tap Chard,10.38,5000,15.99,20812,216028.56,27100.41,20846,347563.54,181829.67,15634.5,131534.98,37.84487291,1.001633673,1.608877734
1128,BROWN-FORMAN CORP,2062,Woodford Reserve Bourbon,44.11,1750,59.99,4886,215521.46,68601.68,5017,314043.83,223516.4,9222.25,98522.37,31.37217184,1.026811298,1.457134849
7245,PROXIMO SPIRITS INC.,8472,1800 Silver Tequila,14.99,750,20.99,14375,215481.25,38994.78,14364,331230.36,189127.8,11313.6,115749.11,34.94519947,0.999234783,1.537165577
1392,CONSTELLATION BRANDS INC,28947,R M Woodbridge Merlot Cal,5.91,1500,8.99,36313,214609.83,79528.99,35634,357635.66,119032.39,7996.23,143025.83,39.99204945,0.981301462,1.666445847
8352,LUXCO INC,8626,Ezra Brooks,11.67,1750,15.99,18389,214599.63,10261.6,18180,326500.2,182883.13,33405.66,111900.57,34.27274164,0.98863451,1.521438783
480,BACARDI USA INC,5315,B & B Liqueur Dom,19.22,750,28.99,11165,214591.3,89286.27,11624,307571.76,174993.25,9155.84,92980.46,30.2304932,1.041110614,1.433290912
